flt_date,flt_no,a,b,c,aircraft,ab_pax,bc_pax,ac_pax,ab_duration,bc_duration,ac_duration
2023-01-01,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.2,1.87,83,29,113
2023-01-02,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.43,1.95,127,29,108
2023-01-03,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.53,4.53,2.0,112,46,102
2023-01-04,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.2,1.82,110,34,119
2023-01-05,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.57,4.37,1.8,120,39,115
2023-01-06,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.4,1.98,93,60,99
2023-01-07,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.5,2.03,119,38,108
2023-01-08,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.3,1.97,126,34,115
2023-01-09,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.35,1.95,108,42,102
2023-01-10,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.45,4.37,1.92,107,47,117
2023-01-11,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.3,1.97,111,40,119
2023-01-12,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.17,3.95,1.78,120,37,126
2023-01-13,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.1,4.2,2.1,114,41,125
2023-01-14,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.48,2.1,114,43,118
2023-01-15,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.3,1.8,100,52,91
2023-01-16,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.6,4.48,1.88,87,60,91
2023-01-17,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.58,4.4,1.82,107,49,112
2023-01-18,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.32,4.34,2.02,75,67,90
2023-01-19,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.43,4.25,1.82,99,58,81
2023-01-20,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.27,1.87,89,60,86
2023-01-21,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.25,4.0,1.75,86,73,72
2023-01-22,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.25,1.78,85,52,108
2023-01-23,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.36,1.88,72,38,107
2023-01-24,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.38,2.0,111,33,116
2023-01-25,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.45,2.05,54,48,89
2023-01-26,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.34,1.87,20,99,56
2023-01-27,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.62,4.67,2.05,71,86,72
2023-01-28,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.45,4.38,1.93,60,97,63
2023-01-29,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.35,1.95,82,81,76
2023-01-30,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.57,2.07,96,60,99
2023-01-31,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.72,4.57,1.85,66,82,80
2023-02-01,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.25,1.83,68,85,76
2023-02-02,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.15,1.82,65,91,64
2023-02-03,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.26,1.88,56,94,67
2023-02-04,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.32,4.34,2.02,50,92,67
2023-02-05,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.45,4.23,1.78,62,76,66
2023-02-06,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.15,1.82,52,88,69
2023-02-07,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.25,1.87,54,89,68
2023-02-08,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.24,1.82,79,54,96
2023-02-09,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.3,4.17,1.87,61,77,88
2023-02-10,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.4,1.9,68,75,84
2023-02-11,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.26,1.88,87,63,94
2023-02-12,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.55,4.35,1.8,66,71,86
2023-02-13,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.37,1.95,61,81,76
2023-02-14,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.38,2.03,43,93,70
2023-02-15,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.31,1.93,38,78,91
2023-02-16,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.25,1.85,48,85,77
2023-02-17,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.37,2.0,72,84,78
2023-02-18,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,3.99,1.62,92,62,82
2023-02-19,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.34,1.92,64,88,79
2023-02-20,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.25,1.9,72,62,95
2023-02-21,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.68,4.68,2.0,93,39,107
2023-02-22,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.28,1.9,61,60,95
2023-02-23,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.78,4.73,1.95,78,45,102
2023-02-24,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.5,2.02,68,81,78
2023-02-25,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.53,4.53,2.0,90,63,76
2023-02-26,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.38,1.98,84,69,92
2023-02-27,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.29,1.92,65,78,71
2023-02-28,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.34,1.97,93,49,98
2023-03-01,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.27,1.87,97,33,120
2023-03-02,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.62,5.07,2.45,72,51,98
2023-03-03,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.52,4.79,2.27,101,34,123
2023-03-04,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.53,4.48,1.95,73,60,76
2023-03-05,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.82,4.84,2.02,80,62,85
