flt_no,flt_date,aircraft,original_ab_price,original_bc_price,original_ac_price,original_ab_revenue,original_bc_revenue,original_ac_revenue,original_total_revenue,optimal_ab_price,optimal_bc_price,optimal_ac_price,predicted_ab_pax,predicted_bc_pax,predicted_ac_pax,allocated_ab_seats,allocated_bc_seats,allocated_ac_seats,expected_revenue,revenue_improvement,revenue_improvement_amount
4ZzUixjOkas=,2024-06-10,737,1181.08547008547,1181.08547008547,1181.08547008547,138187.0,65554.0,3220.0,206961.0,2331,1170,3688,94,85,10,116,116,12,355444,71.74443494184895,148483.0
T1S3Wvaoo74=,2024-06-30,320,534.3137254901961,534.3137254901961,534.3137254901961,54500.0,144500.0,26690.0,225690.0,1108,2101,2163,113,105,3,175,175,5,352298,56.09818777969782,126608.0
Lvc2e+2nFB0=,2024-06-23,320,577.7173913043479,577.7173913043479,577.7173913043479,26575.0,46045.0,55765.0,128385.0,1100,1232,1481,71,63,76,87,87,93,268272,108.9589905362776,139887.0
GLfHLRegmrc=,2024-06-18,ARJ,292.29411764705884,292.29411764705884,292.29411764705884,14907.0,21745.0,0.0,36652.0,408,304,421,51,54,14,71,71,19,43118,17.641602095383607,6466.0
Tdc9g6ophFU=,2024-06-13,738,1119.9204545454545,1119.9204545454545,1119.9204545454545,98553.0,41541.0,124172.0,264266.0,2476,1035,3449,81,104,58,114,114,64,508238,92.32061634867898,243972.0
Qb8G/8LIsac=,2024-06-18,737,167.0,167.0,167.0,501.0,66170.0,25000.0,91671.0,640,1974,2308,34,83,14,136,136,23,217914,137.71312628857544,126243.0
b6d29pf57wI=,2024-06-22,320,400.6928571428571,400.6928571428571,400.6928571428571,56097.0,55541.0,5930.0,117568.0,1233,1396,2487,85,90,20,129,129,29,280185,138.31739929232444,162617.0
yMzVnsdMBnc=,2024-06-30,737,425.99333333333334,425.99333333333334,425.99333333333334,63899.0,40202.0,17744.0,121845.0,983,1389,1983,125,140,41,146,146,43,398638,227.16812343551234,276793.0
hf7vk0e3c+w=,2024-06-12,737,293.0,293.0,293.0,8497.0,41841.0,26250.0,76588.0,497,788,1330,56,103,43,120,120,50,166186,116.98699535175223,89598.0
REDwHoHNRUM=,2024-06-13,737,311.19310344827585,311.19310344827585,311.19310344827585,45123.0,43512.0,11162.0,99797.0,992,855,1026,128,163,22,162,162,22,288058,188.64394721284208,188261.0
